ChargeType,ChargeLevel,EffectiveDate,InactiveDate,ShortDescription,Statute,LongDescription,ChargeCode
M,B,20200828,99991231,COMMIT PROHIBIT ACT BY MMBR OF GENRAL ASSMBLY AND STATE ELECTED OFFICIAL 1ST OFF,105456,COMMIT PROHIBITED ACTS BY MEMBERS OF GENERAL ASSEMBLY AND STATEWIDE ELECTED OFFICIALS - 1ST OFFENSE,105.456-003Y202073
F,E,20200828,99991231,COMMIT ACT PROHIBIT BY MEMBER OF GOVERN BODY OF POLITICAL SUBDIVISION - 2ND SUB,105458,COMMITTED ACT PROHIBITED BY MEMBERS OF GOVERNING BODIES OF POLITICAL SUBDIVISIONS - 2ND OR SUBSEQUENT OFFENSE,105.458-001Y202073
M,B,20200828,99991231,COM ACTS-MEMBER-1ST OFFNS,105458,COMMITTED ACT PROHIBITED BY MEMBERS OF GOVERNING BODIES OF POLITICAL SUBDIVISIONS - 1ST OFFENSE,105.458-002Y202073
M,B,20200828,99991231,MISREPRESENT FINE STATMT,105492,MISREPRESENTATION OR OMISSION OF FACTS IN FINANCIAL INTEREST STATEMENT,105.492-001N202059
M,U,20200828,99991231,FALSE STATEMENT/REPRESENTATION OR FAIL TO DISCLOSE FACT IN LABOR DOCUMENTS/REP,105555,FALSE STATEMENT/REPRESENTATION OR FAIL TO DISCLOSE FACT IN LABOR DOCUMENTS/REPORTS,105.555-001N202026
M,U,20200828,99991231,FALSE ENTRY IN/CONCEAL LABOR BOOK/RECORD/REPORT,105555,FALSE ENTRY IN/CONCEAL LABOR BOOK/RECORD/REPORT,105.555-002N202026
M,A,20200828,99991231,FALSE COMPLAINT-ETHICS LAW,105961,"KNOWINGLY, WITH MALICE, FILE A FALSE COMPLAINT AGAINST AN INDIVIDUAL IN REFERENCE TO THE ETHICS LAW",105.961-001Y202026
M,A,20200828,99991231,VIOLATE CONF-ETHICS COMPLAINT,105961,KNOWINGLY VIOLATE CONFIDENTIALITY OF AN ETHICS COMPLAINT AGAINST AN INDIVIDUAL,105.961-002Y202026
M,A,20200828,99991231,FL CMPL W/O CAUS W/MALC-CH.105,105961,KNOWINGLY FILE A COMPLAINT PURSUANT TO CHAPTER 105 WITHOUT JUST CAUSE OR WITH MALICE,105.961-003Y202073
M,A,20200828,99991231,VIO CNFD RQ 105.955(17) & .961,105961,VIOLATE CONFIDENTIALITY REQUIREMENTS OF THIS SECTION OR SECTION 105.955(17),105.961-004Y202073
M,U,20200828,99991231,DESTROYING STATE RECORDS,109270,DESTRUCTION OF STATE RECORDS,109.270-001N202073
M,U,20200828,99991231,CLK DISCLOS AMT BID BEFR SELECT,110140,CLERK OF COUNTY COMMISSION DISCLOSES AMOUNT OF BID BEFORE SELECTION OF DEPOSITARIES,110.140-001N202073
M,B,20200828,99991231,COMM USE VOTE REG DATA,115158,COMMERCIAL USE OF CENTRALIZED VOTER REGISTRATION DATABASE,115.158-001N202073
M,U,20200828,99991231,CLASS IV-VOTER REG/REG APPS,115203,CLASS FOUR ELECTION OFFENSE OF VOTER REGISTRATION AND SUBMISSION OF VOTER REGISTRATION APPLICATIONS,115.203-001N202059
M,U,20200828,99991231,CLASS III-SOLICITOR FAIL TO REG,115205,CLASS THREE ELECTION OFFENSE - VOTER REGISTRATION SOLICIT OR KNOWINGLY FAIL TO REGISTER WITH SECRETARY OF STATE,115.205-001N202059
F,U,20200828,99991231,CLS 1 ELECTION OFNS-FALSE STMT,115405,CLASS ONE ELECTION OFFENSE - MAKE FALSE SWORN STATEMENT/AFFIDAVIT/STATEMENT OF CANDIDACY OR SIGN SUCH DOCUMENTS KNOWING STATEMENT IS UNTRUE,115.405-001Y202059
F,D,20200828,99991231,CLASS I ELECTION OFFENSE - WILLFUL PROVIDE FALSE VOTER DOCUMENT UNDER 115.155,115631,CLASS I ELECTION OFFENSE - WILLFULLY PROVIDE FALSE DOCUMENTATION REQUIRED FOR VOTER REGISTRATION UNDER CH 115,115.631-001Y202059
F,U,20200828,99991231,COMMIT CLASS ONE ELECTION OFFNS,115631,COMMITTED CLASS ONE ELECTION OFFENSE,115.631-002Y202059
F,U,20200828,99991231,VIO CLASS 2 ELECTION LAW,115633,COMMITTING CLASS TWO ELECTION OFFENSES,115.633-001Y202059
M,U,20200828,99991231,VIO CLASS 3 ELECTION LAW,115635,COMMITTING CLASS THREE ELECTION OFFENSES,115.635-001N202059
M,U,20200828,99991231,VIO CLASS 4 ELECTION LAW,115637,COMMITTING CLASS FOUR ELECTION OFFENSES,115.637-001N202059
M,A,20200828,99991231,SWEAR CIR AFFIDAVIT KNOWN FALS,116080,FALSELY SWEARING TO A CIRCULATORS AFFIDAVIT KNOWING IT TO BE FALSE,116.080-001Y202059
M,A,20200828,99991231,PETITION SIGNATURE FRAUD,116090,PETITION SIGNATURE FRAUD,116.090-001Y202059
M,A,20200828,99991231,FAIL TO REPRT PETN SIGNTR FRAD,116090,FAIL TO REPORT PETITION SIGNATURE FRAUD,116.090-002Y202059
M,A,20200828,99991231,KNOW FILE FALSE WITHDRAWAL,116100,KNOWINGLY FILE A FALSE WITHDRAWAL STATEMENT,116.100-001Y202059
F,E,20200828,99991231,VIOLATE AG'S CIVIL INVTG ORDER,127040,VIOLATE ATTORNEY GENERAL'S CIVIL INVESTIGATIVE ORDER,127.040-001Y202050
M,A,20200828,99991231,FAIL COMPLY CIVIL INVTG DEMAND,127040,FAIL TO COMPLY WITH CIVIL INVESTIGATIVE DEMAND,127.040-002Y202050
F,E,20200828,99991231,VIOLATE SECTION 130.028.1 REGARDING DISCRIMINATION/INTIMIDATION IN ELECTIONS,130028,VIOLATE SECTION 130.028.1 REGARDING DISCRIMINATION/INTIMIDATION IN ELECTIONS,130.028-001Y202059
M,A,20200828,99991231,REC/CAUSE POL CONTR W/O CONSNT,130028,"EMPLOYER/COMMITTEE/LABOR ORGANIZATION RECEIVE/CAUSE POLITICAL CONTRIBUTIONS FROM MEMBERS OR EMPLOYEES, EXCEPT BY CONSENT",130.028-002Y202059
M,A,20200828,99991231,MISDIRECT PAYROLL DEDUCTION,130028,"DIRECT PAYROLL DEDUCTION TO A CONTINUING POLITICAL COMMITTEE, OTHER THAN THE COMMITTEE CHOSEN BY THE EMPLOYEE",130.028-003Y202059
M,A,20200828,99991231,VIOL CAMP FINANCE DISCLOSR LAW,130081,VIOLATE PROVISIONS OF CAMPAIGN FINANCE DISCLOSURE LAW (CHAPTER 130),130.081-001Y202059
M,A,20200828,99991231,FAIL-FILE CAMPAIGN FINAN RPRT,130081,FAILURE TO FILE CAMPAIGN FINANCE DISCLOSURE REPORT PURPOSELY,130.081-002Y202059
I,,19860101,99991231,FAIL TO FILE FINAN DSCLOS REPORT,130081,FAILURE TO FILE CAMPAIGN FINANCE DISCLOSURE REPORT,130.081-003N198659
M,U,20200828,99991231,FAIL SECURE BLDG PERMIT,137177,FAILURE TO SECURE A BUILDING PERMIT,137.177-001N202055
M,U,20200828,99991231,TAX ASSMNT BOOK ABSTR VIOLATION,137375,FAILURE TO MAKE AND FORWARD ASSESSMENT BOOK ABSTRACT TO STATE TAX COMMISSION AS REQUIRED,137.375-001N202061
M,A,20200828,99991231,FALSE CERTFCTN STMMNT FILED W/,137420,FALSE CERTIFICATION TO STATEMENT FILED WITH COUNTY ASSESSOR WITH INTENT TO DEFRAUD,137.420-001Y202026
F,U,20200828,99991231,LAND TRUST MANGMT VIOL,141810,LAND TRUST EMPLOYEE/TRUSTEE RECEIVING COMPENSATION/PROFIT FROM LANDS HELD BY SUCH LAND TRUSTS (1ST CLASS COUNTY),141.810-001Y202061
M,A,20151231,99991231,OP I-S MTR FUEL USR W/O LIC,142830,OPERATE AS AN INTER-STATE MOTOR FUEL USER WITHOUT BEING LICENSED AS SUCH,142.830-001Y201554
I,,20200828,99991231,VIOL PROV-ALTERNATIVE FUEL DECAL,142869,VIOLATE PROVISIONS OF SECTION 142.869 REGARDING ALTERNATIVE FUEL DECAL,142.869-001N202061
I,,19990101,99991231,MV WITH NO ALT FUEL DECAL,142869,OPERATE MOTOR VEHICLE REQUIRED TO HAVE ALTERNATIVE FUEL DECAL UPON HIGHWAY WITHOUT VALID DECAL,142.869-002N199954
I,,19990101,99991231,ALTERNATIVE FUEL PUT IN MV WITH NO DECAL ATTACHED OR TAXES PAID,142869,PUT/CAUSE TO BE PUT ALTERNATIVE FUEL INTO MOTOR VEHICLE ON WHICH NO ALTERNATIVE FUEL DECAL IS ATTACHED OR TAXES PAID,142.869-003N199954
I,,19990101,99991231,SELR IMPROP REC SALE ALT FUEL,142869,SELLER OF ALTERNATIVE FUEL FAILS TO PROPERLY RECORD SALE OF ALTERNATIVE FUEL PUT IN VEHICLES DISPLAYING ALTERNATIVE FUEL DECAL,142.869-004N199954
M,A,20200828,99991231,MOTOR VEHICLE FUEL TAX EVASION,142905,MOTOR VEHICLE FUEL TAX EVASION,142.905-001Y202061
F,E,20200828,99991231,VIOLATION OF CHAPTER 142 MOTOR FUEL REQUIREMENTS AND REGULATIONS TO DEFRAUD,142909,VIOLATION OF CHAPTER 142 MOTOR FUEL REQUIREMENTS AND REGULATIONS TO DEFRAUD,142.909-001Y202073
M,U,20200828,99991231,VIOLATION OF CHAPTER 142 MOTOR FUEL REQUIREMENTS AND REGULATIONS,142909,VIOLATION OF CHAPTER 142 MOTOR FUEL REQUIREMENTS AND REGULATIONS,142.909-002N202073
F,E,20200828,99991231,MOTOR FUEL TAX EVASION,142911,MOTOR FUEL TAX EVASION,142.911-001Y202061
M,A,20200828,99991231,MOTOR VEH FUEL TRANSP 2ND OFFE,142914,MOTOR VEHICLE FUEL TRANSPORTATION OFFENSE - 2ND OR SUBSEQUENT OFFENSE,142.914-001Y202061
M,B,20200828,99991231,MV FUEL TRANSPORTATN OFF,142914,MOTOR VEHICLE FUEL TRANSPORTATION OFFENSE,142.914-002N202061
M,A,20200828,99991231,IMPORT 4 SALE MOTR FUEL NO TAX,142923,SELL/USE/DELIVER/STORE OR IMPORT FOR SALE/USE/DELIVERY/STORAGE OF MOTOR FUEL WHERE NO TAX PAID,142.923-001Y202061
M,A,20200828,99991231,TRAN DYE FUEL W/O NONTAX STMT,142926,TRANSPORT DYED FUEL WITHOUT NONTAXABLE USE STATEMENT ON SHIPPING PAPER,142.926-001N202054
M,A,20200828,99991231,VIOLATION OF IMPORT FUEL LAW,142929,VIOLATION OF IMPORTATION OF FUEL LAWS,142.929-001Y202061
M,A,20200828,99991231,EVASION OF TAX TO FUEL W/ DYE,142932,EVASION OF TAX RELATED TO MOTOR FUEL WITH DYE,142.932-001Y202061
M,A,20200828,99991231,REFUS INSPCT FUEL 2 EVADE TAX,142944,REFUSING INSPECTION OF MOTOR FUEL RECORDS IN ORDER TO EVADE TAX,142.944-001Y202061
F,D,20200828,99991231,RELEASE/USE OF NAMES/ADDRESS OF INDIVIDUALS CONTRIBUTING TO VETERANS TRUST FUND,1431001,RELEASE/USE OF NAMES/ADDRESSES OF INDIVIDUALS CONTRIBUTING TO VETERANS TRUST FUND,143.1001-001Y202073
F,D,20200828,99991231,"RELEASE NAME/ADDRESS OF INDIVIDUAL CONTRIBUTNG TO ""MO NATIONAL GUARD TRUST FUND""",1431003,"RELEASING NAMES AND ADDRESSES OF INDIVIDUALS CONTRIBUTING TO THE ""MISSOURI NATIONAL GUARD TRUST FUND""",143.1003-001Y202073
F,U,20200828,99991231,"EMPLYR, WITHHOLDING TAX VIOL",143221,"EMPLOYER, WITH INTENT TO DEFRAUD, WILLFULLY FAILED TO FILE RETURN/TRUTHFULLY ACCOUNT FOR/PAY WITHHOLDING TAX",143.221-001Y202061
M,U,20200828,99991231,"EMPLYR, WITHHOLDING TAX VIOL",143221,"EMPLOYER, WITH INTENT TO DEFRAUD, WILLFULLY FAILED TO FILE RETURN/TRUTHFULLY ACCOUNT FOR/PAY WITHHOLDING TAX",143.221-002Y202061
F,U,20200828,99991231,ATTEMPT EVADE/DEFEAT TAX,143911,ATTEMPTING TO EVADE OR DEFEAT INCOME TAX,143.911-001Y202061
M,U,20200828,99991231,ATTEMPT EVADE/DEFEAT TAX,143911,ATTEMPTING TO EVADE OR DEFEAT INCOME TAX,143.911-002Y202061
F,U,20200828,99991231,FAIL COLLECT PAY TAX,143921,FAILURE TO COLLECT OR PAY OVER INCOME TAX,143.921-001Y202061
M,U,20200828,99991231,FAILURE COLLECT PAY TAX,143921,FAILURE TO COLLECT OR PAY OVER INCOME TAX,143.921-002Y202061
F,U,19750101,99991231,FAIL TO FILE/PAY MO INCOME TAX,143931,FAILURE TO FILE/PAY A MISSOURI INCOME TAX RETURN -,143.931-001Y197561
M,U,20200828,99991231,FAIL FILE/PAY MO INCOME TX RTN,143931,FAILURE TO FILE/PAY A MISSOURI INCOME TAX RETURN -,143.931-002Y202061
F,U,20200828,99991231,FILE FLSE MO INCOME RTRN,143941,FILING A FALSE MISSOURI INCOME TAX RETURN,143.941-001Y202061
M,U,20200828,99991231,FILE FALSE MO INCOME TAX RETURN,143941,FILING A FALSE MISSOURI INCOME TAX RETURN,143.941-002Y202061
M,U,20200828,99991231,VIOL COLL/RETN/PAY/ASUM OF TAXES,144080,"FAIL TO COLLECT SALES TAX, FILE RETURN AND PAY TAXES; MISREPRESENT ASSUMPTION OF TAXES",144.080-001N202061
M,A,20200828,99991231,MAKE RETAIL SELL W/O LICENSE,144083,MAKING SALES AT RETAIL WITHOUT RETAIL LICENSE,144.083-001Y202061
F,U,20200828,99991231,NO SALES TAX RET/PAY SALES TAX,144480,"WITH INTENT TO DEFRAUD, WILLFULLY FAILED TO MAKE A SALES TAX RETURN/PAY SALES TAX/KEEP RECORDS/SUPPLY INFORMATION",144.480-001Y202061
F,U,20200828,99991231,FILE FLS SALES TAX RETRN,144490,FILING FALSE SALES TAX RETURN,144.490-001Y202061
M,U,20200828,99991231,FILE FALSE SALES TAX RETURN,144490,FILING A FALSE SALES TAX RETURN,144.490-002N202061
M,U,20200828,99991231,VIOLATION SALES TAX LAW,144510,VIOLATION OF SALES TAX LAW,144.510-001N202061
F,U,20200828,99991231,FAIL TO PAY MISSOURI USE TAX,144610,FAIL TO PAY MISSOURI USE TAX,144.610-001Y202061
M,U,20200828,99991231,FAIL TO PAY MISSOURI USE TAX,144610,FAIL TO PAY MISSOURI USE TAX,144.610-002N202061
M,U,20200828,99991231,TAX EVASION PERSON PROP,146130,TAX EVASION ON INTANGIBLE PERSONAL PROPERTY,146.130-001N202061
F,U,20200828,99991231,FALS STMT FRAN TAX REPORT,147120,MAKING FALSE STATEMENT ON FRANCHISE TAX REPORT,147.120-001Y202061
M,A,20200828,99991231,SALE TOBAC W/O WHOLESALR LICEN,149035,SALE OF TOBACCO PRODUCTS WITHOUT WHOLESALER LICENSE,149.035-001Y202073
M,A,20200828,99991231,POSS FOR SALE CIG REQ STAMP,149051,"POSSESS FOR THE PURPOSE OF SALE, ANY CIGARETTES TO WHICH THE REQUIRED STAMPS/METER UNITS NOT AFFIXED",149.051-001Y202073
F,U,20200828,99991231,VIOL-EVIDENCE-PAY CIGARETTE TAX,149071,VIOLATE PROVISION OF SECTION 149.071 REGARDING EVIDENCE OF PAYMENT OF CIGARETTE TAXES,149.071-001Y202061
F,U,20200828,99991231,FLS INFO-DOR-SALE/PUR-CIGARETTES,149076,FILE FALSE REPORT/APPLICATION OR MAKE A FALSE STATEMENT TO DEPARTMENT OF REVENUE REGARDING PURCHASE OR SALE OF CIGARETTES,149.076-001Y202061
F,E,20200828,99991231,KNOW/RECKLSS ALTER CIGARETTE PKG AND/OR SELL/DIST/POSS CIG NOT COMPLY W FED REG,149200,KNOWINGLY/RECKLESSLY ALTER CIGARETTE PACKAGE AND/OR SELL/DISTRIBUTE/POSSESS CIGARETTES NOT IN COMPLIANCE WITH FEDERAL REGULATIONS,149.200-001Y202073
M,U,20200828,99991231,DEAL-MERCHANT W/O LICENS,150100,DEALING AS A MERCHANT WITHOUT A LICENSE,150.100-001N202026
M,A,20200828,99991231,ILL SALES BY ITINERANT VND/PED,150465,ILLEGAL SALES BY INTINERANT VENDOR OR PEDDLER,150.465-001Y202026
M,A,20200828,99991231,FALSE REPORT RE SCHOOL VIOLENC,160261,FALSIFY REPORT OR WITHHOLD INFORMATION RELATING TO INVESTIGATION/REPORT OF SCHOOL VIOLENCE,160.261-001Y202026
M,A,20200828,99991231,VIO RE CONFND REP/REC MO DEAF,161409,VIOLATION REGARDING CONFIDENTIALITY OF REPORTS/RECORDS OF MISSOURI COMMISSION FOR THE DEAF AND HARD OF HEARING,161.409-001Y202073
M,A,20210828,99991231,UNAUTHZD USE OF MONEY SCHLRSHP,166715,KNOWINGLY USE MONEY FROM MISSOURI EMPOWERMENT SCHOLARSHIP ACCOUNTS PROGRAM FOR UNAUTHORIZED USES,166.715-001Y202126
M,A,20200828,99991231,KNOWINGLY SUBMIT FALSE INFOR R,167020,KNOWINGLY SUBMITTING FALSE INFORMATION REGARDING RESIDENCY FOR SCHOOL REGISTRATION,167.020-001Y202038
M,B,20200828,99991231,FLS HIST-SCOOL ENROLMNT,167023,MAKING FALSE STATEMENT REGARDING PRIOR HISTORY FOR PURPOSES OF SCHOOL ENROLLMENT,167.023-001N202038
M,C,20200828,99991231,VIOLT EDUC REQUIR CHILD,167031,VIOLATION OF EDUCATION REQUIREMENT FOR A CHILD,167.031-001N202038
M,U,20200828,99991231,TRUANCY,167031,TRUANCY,167.031-002N202073
M,A,20200828,99991231,SCH DSTRCT EMP SELL COMMOD SCH,171181,SCHOOL DISTRICT EMPLOYEE SELLING COMMODITIES TO SCHOOL,171.181-001Y202026
M,C,20200828,99991231,USE FALSE DEGRE/OR IN FLSE MNR,173754,KNOWINGLY USE OR ATTEMPT TO USE FALSE/MISLEADING DEGREE OR IN FALSE/MISLEADING MANNER FROM INSTITUTION OF HIGHER EDUCATION,173.754-001N202026
F,B,20220624,99991231,PRFM/INDCE ABTN - NONMED EMGCY,188017,PERFORM OR INDUCE ABORTION - NOT A MEDICAL EMERGENCY,188.017-001Y202214
M,A,20200828,99991231,PERFM OR INDCE ABRTN W/O CNSNT,188027,PERFORM OR INDUCE ABORTION W/O CONSENT,188.027-001Y202014
M,A,20200828,99991231,PFRM/INDC ABRTN-LS THAN 18 YOA,188028,PERFORM OR INDUCE ABORTION - WOMAN LESS THAN 18 YOA,188.028-001Y202014
F,D,20200828,99991231,PERFORM OR INDUCE AN ABORTION OF AN UNBORN CHILD IN VIOLATION OF SECTION 188.030,188030,PERFORM OR INDUCE AN ABORTION OF AN UNBORN CHILD IN VIOLATION OF SECTION 188.030 RSMO,188.030-001Y202014
F,B,20200828,99991231,PFRM/INDC ABRTN-8 WKS/LTR,188056,PERFORM OR INDUCE ABORTION - WOMAN 8 WEEKS GESTATION OR LATER,188.056-001Y202014
F,B,20200828,99991231,PFRM/INDC ABTN-14 WKS/LTR,188057,PERFORM OR INDUCE ABORTION - WOMAN 14 WEEKS GESTATION OR LATER,188.057-001Y202014
F,B,20200828,99991231,PFRM/INDC ABTN-18 WKS/LTR,188058,PERFORM OR INDUCE ABORTION - WOMAN 18 WEEKS GESTATION OR LATER,188.058-001Y202014
M,A,20200828,99991231,KNOW-PERFORM/AID-ILLEGAL ABORTION,188075,KNOWINGLY PERFORM/INDUCE/AID PERFOMING AN ABORTION CONTRARY TO SECTIONS 188.010 - 188.085 OR FAIL TO PERFORM ACTION REQUIRED BY SECTION 188.010 - 188.085,188.075-001Y202014
M,A,20200828,99991231,PRFRM/INDUC ABOR NOT W/IN 30MI,188080,PERFORM/INDUCE ABORTION BY PHYSICIAN WITH NO CLINICAL PRIVILEGES AT HOSPITAL WITHIN 30 MILES OF ABORTION/INDUCEMENT,188.080-001Y202014
F,B,20200828,99991231,PERFORM/INDUCE ABORTION-NOT PHYS,188080,PERFORM/INDUCE/ATTEMPT TO PERFORM/INDUCE ABORTION BY PERSON WHO IS NOT A PHYSICIAN,188.080-002Y202014
F,B,20200828,99991231,PFRM/INDC ABTN-20 WKS/LTR,188375,PERFORM OR INDUCE ABORTION - WOMAN 20 WEEKS GESTATION OR LATER,188.375-001Y202014
F,D,20200828,99991231,PFM/IDC ATN-20 WKS/LTR-SUB 6&7,188375,PERFORM OR INDUCE ABORTION - WOMAN 20 WEEKS GESTATION OR LATER - VIOLATION OF SUBSECTIONS 6 AND 7,188.375-002Y202014
M,B,20200828,99991231,IMPERSONATE/PROV EMT SERV W/O LIC,190142,PROVIDE EMT SERVICES WITHOUT A LICENSE OR IMPERSONATE AN EMT,190.142-001N202055
M,B,20020828,99991231,"ILL USE,SELL,POSS EPIN INJ DEV",190246,"ILLEGALY USE, SELL OR POSSESS EPINEPHRINE AUTO-INJECTOR DEVICE",190.246-001N200255
M,B,20020828,99991231,ILL DISP OF EPIN AUTO-INJ DEV,190246,ILLEGAL DISPOSAL OF AN EPINEPHRINE AUTO-INJECTOR DEVICE,190.246-002N200255
M,B,20200828,99991231,"MISUSING ""911""",190308,"MISUSING ""911""",190.308-001N202048
M,B,20020828,99991231,OPER STRETCHER VAN SER W/O LIC,190528,OPERATE STRETCHER VAN SERVICE WITHOUT VALID LICENSE FROM THE DEPARTMENT OF HEALTH AND SENIOR SERVICES,190.528-001N200255
M,B,20020828,99991231,VIOL/SECT 190.525-190.537,190531,"VIOLATE, ASSIST OR ENABLE ANOTHER TO VIOLATE ANY PROVISION SECTION 190.525 - 190.537",190.531-001N200255
F,E,20200828,99991231,EXCT/FALSFY/FRG HSPTL DNR ORDR/ID OF PRSN W/O CNSNT OR CNCL/WTHLD KNWL OF REVCTN,190621,EXTRACT/FALSIFY/FORGE THE HOSPITAL DO NOT RESUSCITATE ORDER/ID OF ANOTHER PERSON W/O CONSENT OR CANCEL/WITHHOLD PERSONAL KNOWELDGE OF REVOCATION,190.621-001Y202055
M,A,20200828,99991231,CNL/OBLIT OUTSD DNR OR FLS REV,190621,CONCEAL/CANCEL/DEFACE/OBLITERATE AN OUTSIDE THE HOSPITAL DO-NOT-RESUSCITATE ORDER/IDENTIFICATION OF ANOTHER PERSON WITHOUT CONSENT OF THE OTHER PERSON OR FALSIFY/FORGE A REVOCATION OR ORDER OR IDENTIFICATION,190.621-002Y202055
M,A,20200828,99991231,KNOW DISCL ANOTHERS HIV RESULT,191658,KNOWINGLY DISCLOSE INFORMATION OR HIV RESULTS OF ANOTHER,191.658-001Y202055
F,C,20210828,99991231,PSN W/DIS-BLD/ORG DNR &VIC DIS,191677,PERSON W/ SERIOUS INFECTN/COMMUNCABLE DISEASE BE/ATTMP TO BE BLOOD/ORGAN/SPERM/TISSUE DONOR & VIC CONTRACTS DISEASE,191.677-001Y202155
F,C,20210828,99991231,PSN W/DIS KNWG EXP ATR&VIC DIS,191677,PERSON W/ SERIOUS INFECTIOUS/COMMUNICABLE DISEASE KNOWINGLY EXPOSE ANOTHER & VICTIM CONTRACTS DISEASE,191.677-002Y202155
F,D,20210828,99991231,PSN W/ DIS-BLD/ORG/SPM/TIS DNR,191677,PERSON W/ SERIOUS INFECTIOUS/COMMUNICABLE DISEASE BE/ATTMP TO BE BLOOD/ORGAN/SPERM/TISSUE DONOR,191.677-003Y202155
F,D,20210828,99991231,PSN W/ DIS KNWN EXP ATR TO DIS,191677,PERSON W/ SERIOUS INFECTIOUS/COMMUNICABLE DISEASE KNOWINGLY EXPOSE ANOTHER TO DISEASE,191.677-004Y202155
M,A,20210828,99991231,RCKL EXP ATR SRS INFC/CMBL DIS,191677,RECKLESSLY EXPOSE ANOTHER TO A SERIOUS INFECTIOUS/COMMUNICABLE DISEASE,191.677-005Y202155
I,,19920828,99991231,SMOKING IN A PUBLIC PLCE,191767,SMOKING IN A PUBLIC PLACE/MEETING IN AN AREA NOT DESIGNATED AS SMOKING,191.767-001N199255
I,,19920828,99991231,ALLOW SMOKING PROHB AREA,191771,PERSON HAVING CUSTODY/CONTROL OF A PUBLIC PLACE/MEETING PERMITTING SMOKING IN A PROHIBITED AREA,191.771-001N199255
I,,19930828,99991231,SMOKE-ST LIC CHILD/CA FA,191776,SMOKING IN A STATE LICENSED CHILD CARE FACILITY,191.776-001N199355
F,B,20200828,99991231,VIOL HEALTH CARE PAYMENT-SUB OFNS,191905,VIOLATIONS INVOLVING HEALTH CARE PAYMENTS - 2ND OR SUBSEQUENT OFFENSE,191.905-001Y202055
F,D,20200828,99991231,VIOLATIONS INVOLVING HEALTH CARE PAYMENTS - 1ST OFFENSE,191905,VIOLATIONS INVOLVING HEALTH CARE PAYMENTS - 1ST OFFENSE,191.905-002Y202055
F,E,20200828,99991231,WILFL/ATMPT PRVNT/OBSTRCT/MISLD/DLY COMM OF INFO/RCRDS RE VIOLTN OF HLTH CR FRD,191905,WILLFULLY OR ATTEMPT TO PREVENT/OBSTRUCT/MISLEAD/DELAY COMMUNICATION OF INFO/RECORDS RE VIOLATION OF HEALTH CARE PAYMENT FRAUD AND ABUSE,191.905-003Y202055
F,D,20200828,99991231,ABUSE OF HEALTHCARE RECIPIENT - PHYSICAL/SEXUAL/EMOTIONAL HARM OR INJURY >$500,191905,"ABUSE OF HEALTHCARE RECIPIENT - PHYSICAL, SEXUAL OR EMOTIONAL HARM OR INJURY (PROPERTY VALUE GREATER THAN $500)",191.905-004Y202055
